Timeseries computed from GloSAT.prelim01_reqSD_alternativegrid-178101-201912
Units: K anomalies from 1961-1990 reference period mean
Missing value:      -9.99900

 Year Month   Global      NH      SH
  1834     2  -9.999  -0.177  -9.999
  1834     3  -9.999   0.391  -9.999
  1834     4  -9.999  -1.020  -9.999
  1834     5  -9.999   0.275  -9.999
  1834     6  -9.999  -0.001  -9.999
  1834     7  -9.999   0.549  -9.999
  1834     8  -9.999   1.106  -9.999
  1834     9  -9.999   0.314  -9.999
  1834    10  -9.999  -0.067  -9.999
  1834    11  -9.999  -0.180  -9.999
  1834    12  -9.999  -0.022  -9.999
  1835     1  -9.999   0.383  -9.999
  1835     2  -9.999   0.859  -9.999
  1835     3  -9.999  -0.319  -9.999
  1835     4  -9.999  -0.741  -9.999
  1835     5  -9.999  -1.066  -9.999
  1835     6  -9.999  -0.501  -9.999
  1835     7  -9.999  -0.449  -9.999
  1835     8  -9.999  -1.108  -9.999
  1835     9  -9.999  -0.670  -9.999
  1835    10  -9.999  -0.904  -9.999
  1835    11  -9.999  -2.285  -9.999
  1835    12  -9.999  -3.909  -9.999
